,SK_ID_CURR
277,101887
278,101897
279,101901
280,101903
281,101920
282,101921
283,101922
284,101961
285,101962
286,101971
287,101976
288,102002
289,102005
290,102007
291,102017
292,102019
293,102029
294,102051
295,102052
296,102054
297,102062
298,102067
299,102068
300,102070
301,102090
302,102092
303,102099
304,102100
305,102112
306,102113
307,102122
308,102123
309,102125
310,102126
311,102146
312,102147
313,102151
314,102158
315,102159
316,102162
317,102165
318,102166
319,102174
320,102193
321,102198
322,102205
323,102206
324,102218
325,102221
326,102230
327,102238
328,102248
329,102252
330,102259
331,102262
332,102273
333,102286
334,102293
335,102294
336,102296
337,102298
338,102303
339,102309
340,102315
341,102340
342,102342
343,102344
344,102346
345,102347
346,102374
347,102380
348,102387
349,102393
350,102403
351,102413
352,102414
353,102415
354,102416
355,102439
356,102441
357,102443
358,102444
359,102445
360,102448
361,102449
362,102450
363,102456
364,102458
365,102459
366,102465
367,102470
368,102471
369,102475
370,102476
371,102506
372,102509
373,102519
374,102522
375,102545
376,102549
377,102562
378,102563
379,102568
380,102582
381,102592
382,102597
383,102605
384,102614
385,102617
386,102634
387,102652
388,102655
389,102671
390,102694
391,102701
392,102703
393,102704
394,102713
395,102720
396,102731
397,102733
398,102749
399,102755
400,102763
401,102770
402,102772
403,102799
404,102838
405,102854
406,102862
407,102863
408,102867
409,102868
410,102878
411,102887
412,102898
413,102904
414,102912
415,102919
416,102927
417,102932
418,102933
419,102935
420,102958
421,102969
422,102971
423,102975
424,102979
425,102982
426,102987
427,102989
428,102995
429,102996
430,103000
431,103001
432,103004
433,103010
434,103025
435,103029
436,103046
437,103056
438,103062
439,103078
440,103083
441,103092
442,103096
443,103097
444,103102
445,103112
446,103132
447,103144
448,103145
449,103146
450,103147
451,103158
452,103171
453,103173
454,103184
455,103195
456,103196
457,103206
458,103230
459,103231
460,103232
461,103239
462,103240
463,103243
464,103252
465,103258
466,103259
467,103279
468,103280
469,103286
470,103287
471,103290
472,103298
473,103315
474,103319
475,103334
476,103336
477,103345
478,103368
479,103371
480,103377
481,103398
482,103404
483,103408
484,103410
485,103418
486,103420
487,103432
488,103433
489,103436
490,103440
491,103453
492,103459
493,103460
494,103461
495,103462
496,103473
497,103474
498,103475
499,103478
500,103480
501,103484
502,103494
503,103513
504,103515
505,103516
506,103525
507,103541
508,103544
509,103562
510,103570
511,103572
512,103574
513,103575
514,103591
515,103594
516,103609
517,103613
518,103614
519,103615
520,103624
521,103625
522,103628
523,103629
524,103647
525,103648
526,103651
527,103658
528,103668
529,103669
530,103676
531,103682
532,103683
533,103689
534,103725
535,103733
536,103744
537,103762
538,103771
539,103773
540,103783
541,103784
542,103808
543,103812
544,103813
545,103814
546,103818
547,103824
548,103828
549,103830
550,103840
551,103842
552,103847
553,103848
554,103851
555,103854
556,103857
557,103861
558,103862
559,103865
560,103870
561,103876
562,103891
563,103908
564,103914
565,103918
566,103940
567,103963
568,103966
569,103971
570,103980
571,103984
572,103985
573,103998
574,104019
575,104026
576,104035
577,104044
578,104045
579,104047
580,104051
581,104058
582,104063
583,104066
584,104087
585,104089
586,104095
587,104098
588,104104
589,104110
590,104120
591,104122
592,104131
593,104132
594,104135
595,104136
596,104149
597,104150
598,104156
599,104165
600,104175
601,104179
602,104184
603,104206
604,104216
605,104230
606,104257
607,104272
608,104273
609,104278
610,104294
611,104295
612,104297
613,104298
614,104308
615,104318
616,104319
617,104320
618,104327
619,104334
620,104344
621,104350
622,104351
623,104354
624,104369
625,104376
626,104381
627,104384
628,104391
629,104394
630,104398
631,104402
632,104408
633,104409
634,104410
635,104412
636,104417
637,104424
638,104426
639,104435
640,104445
641,104458
642,104460
643,104466
644,104472
645,104473
646,104479
647,104480
648,104482
649,104499
650,104501
651,104502
652,104506
653,104510
654,104512
655,104520
656,104528
657,104529
658,104541
659,104578
660,104584
661,104588
662,104602
663,104610
664,104611
665,104618
666,104620
667,104622
668,104624
669,104625
670,104634
671,104639
672,104646
673,104647
674,104652
675,104670
676,104677
677,104685
678,104691
679,104696
680,104699
681,104712
682,104714
683,104717
684,104718
685,104740
686,104741
687,104743
688,104744
689,104747
690,104767
691,104772
692,104776
693,104779
694,104814
695,104815
696,104830
697,104831
698,104833
699,104839
700,104840
701,104860
702,104861
703,104866
704,104870
705,104877
706,104878
707,104879
708,104880
709,104899
710,104906
711,104907
712,104913
713,104916
714,104921
715,104930
716,104931
717,104936
718,104937
719,104942
720,104943
721,104969
722,104972
723,104988
724,105013
725,105015
726,105019
727,105027
728,105030
729,105035
730,105041
731,105051
732,105056
733,105067
734,105071
735,105072
736,105074
737,105091
738,105101
739,105103
740,105134
741,105139
742,105142
743,105146
744,105163
745,105168
746,105172
747,105176
748,105195
749,105196
750,105197
751,105203
752,105223
753,105227
754,105228
755,105230
756,105231
757,105239
758,105242
759,105244
760,105245
761,105248
762,105249
763,105266
764,105271
765,105276
766,105282
767,105292
768,105297
769,105332
770,105333
771,105343
772,105344
773,105345
774,105357
775,105359
776,105366
777,105367
778,105370
779,105377
780,105390
781,105399
782,105403
783,105404
784,105414
785,105417
786,105425
787,105452
788,105454
789,105456
790,105470
791,105471
792,105483
793,105493
794,105508
795,105514
796,105515
797,105528
798,105529
799,105531
800,105532
801,105558
802,105574
803,105578
804,105584
805,105595
806,105617
807,105618
808,105621
809,105625
810,105629
811,105630
812,105634
813,105635
814,105641
815,105647
816,105648
817,105655
818,105657
819,105672
820,105678
821,105682
822,105691
823,105692
824,105706
825,105712
826,105720
827,105734
828,105735
829,105736
830,105737
831,105738
832,105740
833,105744
834,105747
835,105749
836,105754
837,105758
838,105760
839,105767
840,105784
841,105791
842,105802
843,105807
844,105809
845,105816
846,105817
847,105824
848,105832
849,105856
850,105865
851,105899
852,105906
853,105916
854,105923
855,105937
856,105965
857,105966
858,105968
859,105973
860,105976
861,105978
862,105979
863,105991
864,105998
865,105999
866,106000
867,106001
868,106010
869,106011
870,106013
871,106015
872,106026
873,106032
874,106035
875,106040
876,106041
877,106044
878,106053
879,106054
880,106065
881,106081
882,106083
883,106087
884,106090
885,106101
886,106102
887,106109
888,106116
889,106150
890,106155
891,106166
892,106176
893,106189
894,106199
895,106205
896,106211
897,106214
898,106216
899,106217
900,106225
901,106249
902,106256
903,106258
904,106261
905,106262
906,106264
907,106271
908,106276
909,106277
910,106286
911,106293
912,106295
913,106296
914,106297
915,106298
916,106311
917,106314
918,106320
919,106334
920,106346
921,106347
922,106349
923,106354
924,106360
925,106373
926,106377
927,106386
928,106387
929,106391
930,106401
931,106411
932,106413
933,106426
934,106427
935,106428
936,106434
937,106438
938,106440
939,106441
940,106452
941,106453
942,106454
943,106457
944,106484
945,106488
946,106491
947,106514
948,106527
949,106528
950,106529
951,106534
952,106550
953,106577
954,106585
955,106590
956,106607
957,106610
958,106611
959,106612
960,106624
961,106631
962,106647
963,106660
964,106674
965,106687
966,106712
967,106713
968,106717
969,106720
970,106721
971,106724
972,106735
973,106739
974,106740
975,106754
976,106760
977,106761
978,106784
979,106787
980,106797
981,106798
982,106802
983,106803
984,106804
985,106805
986,106810
987,106812
988,106813
989,106817
990,106822
991,106823
992,106827
993,106841
994,106851
995,106852
996,106853
997,106854
998,106861
999,106873
1000,106877
1001,106878
1002,106881
1003,106900
1004,106906
1005,106907
1006,106914
1007,106916
1008,106924
1009,106931
1010,106936
1011,106937
1012,106938
1013,106939
1014,106943
1015,106944
1016,106967
1017,106980
1018,106986
1019,106987
1020,106990
1021,107013
1022,107023
1023,107033
1024,107037
1025,107048
1026,107071
1027,107081
1028,107113
1029,107130
1030,107131
1031,107145
1032,107156
1033,107219
1034,107222
1035,107223
1036,107232
1037,107245
1038,107246
1039,107247
1040,107256
1041,107259
1042,107260
1043,107279
1044,107280
1045,107281
1046,107285
1047,107329
1048,107337
1049,107349
1050,107350
1051,107351
1052,107359
1053,107391
1054,107394
1055,107395
1056,107406
1057,107416
1058,107417
1059,107418
1060,107419
1061,107444
1062,107445
1063,107446
1064,107460
1065,107470
1066,107475
1067,107520
1068,107526
1069,107527
1070,107530
1071,107532
1072,107534
1073,107535
1074,107554
1075,107556
1076,107559
1077,107561
1078,107564
1079,107566
1080,107571
1081,107590
1082,107602
1083,107625
1084,107626
1085,107635
1086,107636
1087,107645
1088,107652
1089,107655
1090,107668
1091,107670
1092,107677
1093,107680
1094,107683
1095,107684
1096,107691
1097,107692
1098,107703
1099,107709
1100,107710
1101,107721
1102,107725
1103,107727
1104,107739
1105,107740
1106,107741
1107,107747
1108,107765
1109,107768
1110,107775
1111,107782
1112,107790
1113,107801
1114,107807
1115,107811
1116,107817
1117,107826
1118,107838
1119,107839
1120,107843
1121,107847
1122,107849
1123,107850
1124,107867
1125,107871
1126,107908
1127,107913
1128,107927
1129,107931
1130,107955
1131,107962
1132,107977
1133,107978
1134,107993
1135,108010
1136,108016
1137,108018
1138,108027
1139,108045
1140,108069
1141,108082
1142,108089
1143,108092
1144,108112
1145,108120
1146,108122
1147,108135
1148,108170
1149,108171
1150,108177
1151,108180
1152,108183
1153,108184
1154,108185
1155,108192
1156,108195
1157,108196
1158,108218
1159,108219
1160,108243
1161,108249
1162,108251
1163,108274
1164,108280
1165,108289
1166,108292
1167,108295
1168,108327
1169,108332
1170,108346
1171,108349
1172,108353
1173,108362
1174,108363
1175,108377
1176,108378
1177,108381
1178,108383
1179,108390
1180,108407
1181,108408
1182,108411
1183,108412
1184,108419
1185,108436
1186,108437
1187,108438
1188,108441
1189,108448
1190,108449
1191,108466
1192,108467
1193,108473
1194,108474
1195,108476
1196,108479
1197,108486
1198,108493
1199,108501
1200,108506
1201,108510
1202,108511
1203,108514
1204,108517
1205,108519
1206,108522
1207,108548
1208,108554
1209,108555
1210,108559
1211,108562
1212,108571
1213,108572
1214,108579
1215,108583
1216,108584
1217,108592
1218,108602
1219,108609
1220,108613
1221,108616
1222,108618
1223,108620
1224,108643
1225,108649
1226,108654
1227,108655
1228,108656
1229,108667
1230,108668
1231,108682
1232,108690
1233,108691
1234,108692
1235,108695
1236,108699
1237,108710
1238,108718
1239,108739
1240,108740
1241,108741
1242,108742
1243,108763
1244,108767
1245,108769
1246,108779
1247,108788
1248,108801
1249,108802
1250,108810
1251,108811
1252,108813
1253,108814
1254,108825
1255,108826
1256,108830
1257,108834
1258,108852
1259,108887
1260,108901
1261,108908
1262,108910
1263,108920
1264,108922
1265,108929
1266,108930
1267,108937
1268,108938
1269,108943
1270,108948
1271,108953
1272,108956
1273,108965
1274,108985
1275,108986
1276,108987
1277,108990
1278,108991
1279,108993
1280,109000
1281,109001
1282,109012
1283,109014
1284,109015
1285,109021
1286,109037
1287,109042
1288,109044
1289,109046
1290,109064
1291,109084
1292,109086
1293,109092
1294,109093
1295,109100
1296,109101
1297,109110
1298,109114
1299,109126
1300,109152
1301,109162
1302,109167
1303,109168
1304,109169
1305,109179
1306,109184
1307,109191
1308,109192
1309,109193
1310,109196
1311,109206
1312,109210
1313,109244
1314,109249
1315,109273
1316,109276
1317,109281
1318,109287
1319,109297
1320,109298
1321,109306
1322,109309
1323,109321
1324,109328
1325,109336
1326,109342
1327,109346
1328,109347
1329,109348
1330,109362
1331,109363
1332,109367
1333,109370
1334,109393
1335,109405
1336,109413
1337,109414
1338,109421
1339,109427
1340,109428
1341,109429
1342,109437
1343,109443
1344,109461
1345,109468
1346,109469
1347,109471
1348,109479
1349,109484
1350,109501
1351,109505
1352,109535
1353,109539
1354,109544
1355,109545
1356,109551
1357,109553
1358,109555
1359,109561
1360,109580
1361,109583
1362,109593
1363,109604
1364,109620
1365,109635
1366,109637
1367,109638
1368,109642
1369,109649
1370,109652
1371,109656
1372,109663
1373,109696
1374,109700
1375,109709
1376,109735
1377,109740
1378,109741
1379,109749
1380,109764
1381,109771
1382,109772
1383,109773
1384,109798
1385,109802
1386,109804
1387,109813
1388,109818
1389,109848
1390,109850
1391,109851
1392,109855
1393,109871
1394,109877
1395,109883
1396,109886
1397,109905
1398,109936
1399,109950
1400,109958
1401,109959
1402,109969
1403,109971
1404,109984
1405,109985
1406,109988
1407,109992
1408,110005
1409,110009
1410,110011
1411,110014
1412,110026
1413,110042
1414,110058
1415,110069
1416,110080
1417,110087
1418,110091
1419,110094
1420,110098
1421,110105
1422,110117
1423,110136
1424,110138
1425,110149
1426,110164
1427,110202
1428,110212
1429,110226
1430,110236
1431,110249
1432,110257
1433,110258
1434,110277
1435,110282
1436,110284
1437,110286
1438,110289
1439,110304
1440,110319
1441,110324
1442,110326
1443,110335
1444,110337
1445,110338
1446,110343
1447,110345
1448,110347
1449,110355
1450,110359
1451,110360
1452,110364
1453,110371
1454,110372
1455,110376
1456,110379
1457,110380
1458,110393
1459,110401
1460,110406
1461,110411
1462,110416
1463,110420
1464,110443
1465,110465
1466,110468
1467,110469
1468,110471
1469,110487
1470,110491
1471,110504
1472,110547
1473,110550
1474,110559
1475,110578
1476,110582
1477,110590
1478,110598
1479,110601
1480,110602
1481,110604
1482,110625
1483,110626
1484,110636
1485,110637
1486,110638
1487,110646
1488,110648
1489,110652
1490,110681
1491,110682
1492,110687
1493,110691
1494,110694
1495,110695
1496,110696
1497,110708
1498,110710
1499,110717
1500,110730
1501,110740
1502,110742
1503,110747
1504,110761
1505,110766
1506,110769
1507,110774
1508,110803
1509,110805
1510,110809
1511,110827
1512,110832
1513,110839
1514,110859
1515,110861
1516,110863
1517,110865
1518,110881
1519,110889
1520,110891
1521,110894
1522,110895
1523,110907
1524,110914
1525,110933
1526,110934
1527,110937
1528,110953
1529,110954
1530,110958
1531,110970
1532,110974
1533,110977
1534,110989
1535,110993
1536,110994
1537,111018
1538,111019
1539,111030
1540,111032
1541,111041
1542,111045
1543,111048
1544,111052
1545,111070
1546,111084
1547,111091
1548,111104
1549,111108
1550,111112
1551,111127
1552,111142
1553,111146
1554,111165
1555,111168
1556,111169
1557,111172
1558,111173
1559,111174
1560,111175
1561,111176
1562,111177
1563,111180
1564,111182
1565,111192
1566,111194
1567,111196
1568,111197
1569,111198
1570,111205
1571,111207
1572,111222
1573,111228
1574,111233
1575,111256
1576,111258
1577,111262
1578,111263
1579,111267
1580,111269
1581,111276
1582,111277
1583,111279
1584,111290
1585,111294
1586,111295
1587,111315
1588,111318
1589,111327
1590,111328
1591,111332
1592,111338
1593,111343
1594,111344
1595,111345
1596,111347
1597,111356
1598,111359
1599,111367
1600,111368
1601,111391
1602,111408
1603,111412
1604,111419
1605,111422
1606,111423
1607,111439
1608,111452
1609,111456
1610,111467
1611,111478
1612,111482
1613,111488
1614,111503
1615,111510
1616,111512
1617,111518
1618,111532
1619,111537
1620,111541
1621,111544
1622,111550
1623,111554
1624,111560
1625,111566
1626,111567
1627,111592
1628,111618
1629,111620
1630,111627
1631,111641
1632,111646
1633,111652
1634,111657
1635,111664
1636,111665
1637,111669
1638,111673
1639,111687
1640,111688
1641,111689
1642,111694
1643,111695
1644,111698
1645,111703
1646,111709
1647,111712
1648,111715
1649,111724
1650,111730
1651,111747
1652,111760
1653,111761
1654,111763
1655,111776
1656,111777
1657,111781
1658,111793
1659,111804
1660,111810
1661,111816
1662,111818
1663,111830
1664,111832
1665,111841
1666,111842
1667,111843
1668,111846
1669,111848
1670,111856
1671,111857
1672,111877
1673,111882
1674,111883
1675,111891
1676,111893
1677,111901
1678,111912
1679,111913
1680,111955
1681,111958
1682,111960
1683,111967
1684,112000
1685,112003
1686,112015
1687,112019
1688,112020
1689,112028
1690,112029
1691,112031
1692,112039
1693,112042
1694,112049
1695,112052
1696,112054
1697,112055
1698,112063
1699,112070
1700,112071
1701,112080
1702,112083
1703,112085
1704,112089
1705,112098
1706,112100
1707,112105
1708,112124
1709,112126
1710,112127
1711,112128
1712,112148
1713,112149
1714,112165
1715,112170
1716,112171
1717,112176
1718,112186
1719,112199
1720,112203
1721,112214
1722,112215
1723,112216
1724,112224
1725,112225
1726,112231
1727,112234
1728,112235
1729,112236
1730,112254
1731,112265
1732,112271
1733,112284
1734,112287
1735,112295
1736,112303
1737,112307
1738,112310
1739,112312
1740,112313
1741,112326
1742,112333
1743,112334
1744,112339
1745,112347
1746,112350
1747,112356
1748,112357
1749,112359
1750,112360
1751,112371
1752,112385
1753,112392
1754,112401
1755,112405
1756,112414
1757,112429
1758,112448
1759,112467
1760,112468
1761,112469
1762,112491
1763,112500
1764,112510
1765,112535
1766,112537
1767,112551
1768,112552
1769,112556
1770,112577
1771,112590
1772,112593
1773,112596
1774,112601
1775,112604
1776,112622
1777,112655
1778,112663
1779,112667
1780,112670
1781,112676
1782,112677
1783,112679
1784,112683
1785,112688
1786,112692
1787,112696
1788,112702
1789,112709
1790,112720
1791,112735
1792,112738
1793,112742
1794,112748
1795,112749
1796,112766
1797,112767
1798,112769
1799,112771
1800,112775
1801,112794
1802,112795
1803,112796
1804,112815
1805,112817
1806,112821
1807,112822
1808,112829
1809,112831
1810,112835
1811,112838
1812,112842
1813,112844
1814,112845
1815,112846
1816,112847
1817,112867
1818,112868
1819,112874
1820,112879
1821,112882
1822,112886
1823,112895
1824,112896
1825,112902
1826,112904
1827,112917
1828,112932
1829,112944
1830,112946
1831,112947
1832,112948
1833,112966
1834,112967
1835,112971
1836,112973
1837,112974
1838,112978
1839,112988
1840,112992
1841,113003
1842,113004
1843,113007
1844,113020
1845,113025
1846,113032
1847,113042
1848,113047
1849,113066
1850,113067
1851,113071
1852,113087
1853,113108
1854,113109
1855,113123
1856,113128
1857,113134
1858,113151
1859,113175
1860,113181
1861,113188
1862,113191
1863,113193
1864,113201
1865,113209
1866,113222
1867,113248
1868,113272
1869,113276
1870,113287
1871,113302
1872,113308
1873,113316
1874,113318
1875,113320
1876,113322
1877,113325
1878,113326
1879,113332
1880,113346
1881,113352
1882,113361
1883,113362
1884,113365
1885,113366
1886,113368
1887,113382
1888,113385
1889,113390
1890,113391
1891,113393
1892,113396
1893,113397
1894,113402
1895,113403
1896,113405
1897,113406
1898,113410
1899,113413
1900,113418
1901,113419
1902,113435
1903,113438
1904,113447
1905,113458
1906,113466
1907,113475
1908,113482
1909,113490
1910,113505
1911,113508
1912,113520
1913,113532
1914,113535
1915,113549
1916,113557
1917,113558
1918,113561
1919,113566
1920,113569
1921,113574
1922,113576
1923,113577
1924,113585
1925,113587
1926,113599
1927,113601
1928,113602
1929,113605
1930,113609
1931,113611
1932,113616
1933,113627
1934,113631
1935,113643
1936,113652
1937,113657
1938,113659
1939,113672
1940,113680
1941,113692
1942,113694
1943,113695
1944,113701
1945,113733
1946,113738
1947,113740
1948,113742
1949,113777
1950,113783
1951,113788
1952,113789
1953,113791
1954,113795
1955,113799
1956,113805
1957,113820
1958,113822
1959,113824
1960,113829
1961,113832
1962,113833
1963,113841
1964,113849
1965,113862
1966,113863
1967,113864
1968,113870
1969,113875
1970,113882
1971,113887
1972,113894
1973,113909
1974,113930
1975,113936
1976,113939
1977,113942
1978,113943
1979,113945
1980,113947
1981,113950
1982,113951
1983,113957
1984,113966
1985,113967
1986,113977
1987,113984
1988,113986
1989,113992
1990,113998
1991,113999
1992,114003
1993,114010
1994,114011
1995,114032
1996,114047
1997,114055
1998,114056
1999,114064
2000,114065
2001,114067
2002,114068
2003,114075
2004,114076
2005,114077
2006,114094
2007,114095
2008,114109
2009,114114
2010,114116
2011,114127
2012,114158
2013,114168
2014,114169
2015,114171
2016,114180
2017,114193
2018,114198
2019,114201
2020,114202
2021,114207
2022,114210
2023,114221
2024,114222
2025,114227
2026,114250
2027,114253
2028,114265
2029,114267
2030,114273
2031,114280
2032,114281
2033,114283
2034,114291
2035,114310
2036,114316
2037,114326
2038,114327
2039,114339
2040,114352
2041,114359
2042,114360
2043,114382
2044,114396
2045,114397
2046,114415
2047,114425
2048,114434
2049,114456
2050,114463
2051,114469
2052,114476
2053,114480
2054,114482
2055,114492
2056,114493
2057,114501
2058,114506
2059,114510
2060,114515
2061,114524
2062,114545
2063,114546
2064,114560
2065,114562
2066,114563
2067,114566
2068,114599
2069,114607
2070,114612
2071,114622
2072,114625
2073,114634
2074,114635
2075,114641
2076,114644
2077,114645
2078,114651
2079,114653
2080,114654
2081,114667
2082,114668
2083,114670
2084,114686
2085,114688
2086,114690
2087,114691
2088,114700
2089,114706
2090,114740
2091,114741
2092,114755
2093,114757
2094,114767
2095,114772
2096,114780
2097,114782
2098,114791
2099,114815
2100,114823
2101,114835
2102,114838
2103,114840
2104,114842
2105,114844
2106,114850
2107,114853
2108,114856
2109,114857
2110,114858
2111,114864
2112,114871
2113,114875
2114,114879
2115,114893
2116,114912
2117,114922
2118,114930
2119,114945
2120,114951
2121,114958
2122,114962
2123,114976
2124,114978
2125,114987
2126,115002
2127,115005
2128,115023
2129,115030
2130,115033
2131,115034
2132,115038
2133,115046
2134,115049
2135,115055
2136,115059
2137,115076
2138,115078
2139,115081
2140,115085
2141,115096
2142,115101
2143,115114
2144,115119
2145,115121
2146,115122
2147,115144
2148,115147
2149,115151
2150,115172
2151,115175
2152,115183
2153,115185
2154,115197
2155,115200
2156,115207
2157,115217
2158,115230
2159,115237
2160,115246
2161,115251
2162,115269
2163,115290
2164,115299
2165,115309
2166,115310
2167,115311
2168,115312
2169,115323
2170,115324
2171,115341
2172,115342
2173,115343
2174,115350
2175,115354
2176,115360
2177,115368
2178,115373
2179,115396
2180,115400
2181,115401
2182,115404
2183,115405
2184,115406
2185,115407
2186,115412
2187,115413
2188,115415
2189,115423
2190,115427
2191,115428
2192,115439
2193,115440
2194,115447
2195,115450
2196,115457
2197,115459
2198,115463
2199,115473
2200,115477
2201,115479
2202,115480
2203,115481
2204,115485
2205,115489
2206,115495
2207,115500
2208,115521
2209,115572
2210,115580
2211,115582
2212,115586
2213,115587
2214,115588
2215,115591
2216,115592
2217,115618
2218,115619
2219,115621
2220,115632
2221,115646
2222,115658
2223,115671
2224,115680
2225,115686
2226,115688
2227,115705
2228,115707
2229,115708
2230,115726
2231,115759
2232,115773
2233,115777
2234,115778
2235,115781
2236,115801
2237,115804
2238,115810
2239,115812
2240,115820
2241,115827
2242,115831
2243,115841
2244,115846
2245,115852
2246,115857
2247,115858
2248,115860
2249,115865
2250,115867
2251,115869
2252,115877
2253,115904
2254,115913
2255,115916
2256,115928
2257,115932
2258,115933
2259,115937
2260,115938
2261,115957
2262,115958
2263,115969
2264,115980
2265,115984
2266,116006
2267,116007
2268,116008
2269,116009
2270,116011
2271,116012
2272,116015
2273,116025
2274,116052
2275,116068
2276,116077
2277,116084
2278,116089
2279,116093
2280,116097
2281,116102
2282,116118
2283,116119
2284,116125
2285,116128
2286,116135
2287,116140
2288,116141
2289,116142
2290,116153
2291,116156
2292,116157
2293,116167
2294,116168
2295,116175
2296,116187
2297,116189
2298,116191
2299,116201
2300,116210
2301,116213
2302,116215
2303,116223
2304,116226
2305,116228
2306,116241
2307,116247
2308,116266
2309,116276
2310,116287
2311,116289
2312,116292
2313,116306
2314,116309
2315,116312
2316,116313
2317,116335
2318,116342
2319,116348
2320,116367
2321,116380
2322,116383
2323,116389
2324,116395
2325,116397
2326,116398
2327,116402
2328,116404
2329,116406
2330,116424
2331,116428
2332,116436
2333,116440
2334,116448
2335,116458
2336,116466
2337,116469
2338,116473
2339,116474
2340,116479
2341,116480
2342,116491
2343,116493
2344,116505
2345,116511
2346,116525
2347,116535
2348,116544
2349,116546
2350,116562
2351,116565
2352,116578
2353,116579
2354,116580
2355,116582
2356,116584
2357,116586
2358,116596
2359,116597
2360,116598
2361,116604
2362,116608
2363,116609
2364,116613
2365,116614
2366,116615
2367,116633
2368,116637
2369,116643
2370,116647
2371,116656
2372,116659
2373,116662
2374,116676
2375,116680
2376,116681
2377,116683
2378,116684
2379,116712
2380,116720
2381,116726
2382,116729
2383,116737
2384,116745
2385,116747
2386,116766
2387,116781
2388,116783
2389,116787
2390,116788
2391,116789
2392,116801
2393,116803
2394,116804
2395,116806
2396,116815
2397,116817
2398,116825
2399,116828
2400,116829
2401,116853
2402,116854
2403,116859
2404,116860
2405,116865
2406,116872
2407,116880
2408,116882
2409,116893
2410,116896
2411,116906
2412,116908
2413,116925
2414,116926
2415,116948
2416,116949
2417,116955
2418,116964
2419,116974
2420,116976
2421,116990
2422,116993
2423,116994
2424,116997
2425,117003
2426,117007
2427,117011
2428,117012
2429,117019
2430,117021
2431,117030
2432,117036
2433,117043
2434,117054
2435,117070
2436,117077
2437,117087
2438,117093
2439,117105
2440,117112
2441,117129
2442,117135
2443,117138
2444,117142
2445,117148
2446,117157
2447,117170
2448,117171
2449,117172
2450,117178
2451,117186
2452,117187
2453,117193
2454,117194
2455,117199
2456,117207
2457,117211
2458,117216
2459,117217
2460,117218
2461,117219
2462,117224
2463,117225
2464,117239
2465,117242
2466,117249
2467,117255
2468,117257
2469,117272
2470,117284
2471,117287
2472,117293
2473,117298
2474,117299
2475,117307
2476,117321
2477,117323
2478,117326
2479,117327
2480,117341
2481,117350
2482,117362
2483,117375
2484,117391
2485,117392
2486,117396
2487,117399
2488,117400
2489,117402
2490,117406
2491,117417
2492,117418
2493,117425
2494,117428
2495,117443
